Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.801277501774308,0.6407185628742516,0.5721925133689839,0.6045197740112994,0.8478002531710972
Decision Tree,0.7402413058907026,0.51,0.5454545454545454,0.5271317829457365,0.6780412823891084
Random Forest,0.7934705464868701,0.6378737541528239,0.5133689839572193,0.5688888888888889,0.8401069518716578
XGBoost,0.794180269694819,0.6320754716981132,0.5374331550802139,0.5809248554913294,0.8486760184969904
